Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],Country
2015,YR2015,Nigeria,NGA,493026682800.63,nigeria
2015,YR2015,Northern Mariana Islands,MNP,910000000.0,northern mariana islands
2015,YR2015,Norway,NOR,388159512245.53,norway
2015,YR2015,Oman,OMN,78710793237.9714,oman
2015,YR2015,Pakistan,PAK,299963590534.773,pakistan
2015,YR2015,Palau,PLW,287215972.900391,palau
2015,YR2015,Panama,PAN,54091800000.0,panama
2015,YR2015,Papua New Guinea,PNG,21723437010.0982,papua new guinea
2015,YR2015,Paraguay,PRY,36211447840.0971,paraguay
2015,YR2015,Peru,PER,189802976285.619,peru
2015,YR2015,Philippines,PHL,306445871246.718,philippines
2015,YR2015,Poland,POL,477111287969.227,poland
2015,YR2015,Portugal,PRT,199394066525.44,portugal
2015,YR2015,Puerto Rico,PRI,103375500000.0,puerto rico
2015,YR2015,Qatar,QAT,161739955576.923,qatar
2015,YR2015,Romania,ROU,177883883008.747,romania
2015,YR2015,Russian Federation,RUS,1363482182197.71,russian federation
2015,YR2015,Rwanda,RWA,8543759088.57783,rwanda
2015,YR2015,Samoa,WSM,824150498.653536,samoa
2015,YR2015,San Marino,SMR,1419400403.82788,san marino
2015,YR2015,Sao Tome and Principe,STP,259999643.047388,sao tome and principe
2015,YR2015,Saudi Arabia,SAU,669484266666.667,saudi arabia
2015,YR2015,Senegal,SEN,17774766696.1759,senegal
2015,YR2015,Serbia,SRB,39655949731.3816,serbia
2015,YR2015,Seychelles,SYC,1432403352.12944,seychelles
2015,YR2015,Sierra Leone,SLE,4252029353.82191,sierra leone
2015,YR2015,Singapore,SGP,307998545269.398,singapore
2015,YR2015,Sint Maarten (Dutch part),SXM,1417888715.0838,sint maarten (dutch part)
2015,YR2015,Slovak Republic,SVK,88900883130.8374,slovak republic
2015,YR2015,Slovenia,SVN,43107506024.3254,slovenia
2015,YR2015,Solomon Islands,SLB,1307909887.55212,solomon islands
2015,YR2015,Somalia,SOM,6984947145.09508,somalia
2015,YR2015,South Africa,ZAF,346709790458.563,south africa
2015,YR2015,South Sudan,SSD,11997800760.2242,south sudan
2015,YR2015,Spain,ESP,1196156971279.69,spain
2015,YR2015,Sri Lanka,LKA,85140955388.8509,sri lanka
2015,YR2015,St. Kitts and Nevis,KNA,957222222.222222,st. kitts and nevis
2015,YR2015,St. Lucia,LCA,1807640740.74074,st. lucia
2015,YR2015,St. Vincent and the Grenadines,VCT,786555555.555555,st. vincent and the grenadines
2015,YR2015,Sudan,SDN,51726758676.7677,sudan
2015,YR2015,Suriname,SUR,5126237646.22072,suriname
2015,YR2015,Sweden,SWE,505103781349.757,sweden
2015,YR2015,Switzerland,CHE,694118186379.628,switzerland
2015,YR2015,Syrian Arab Republic,SYR,16466863097.2125,syrian arab republic
2015,YR2015,Tajikistan,TJK,8271431485.07484,tajikistan
2015,YR2015,Tanzania,TZA,47413919817.124,tanzania
2015,YR2015,Thailand,THA,401296238228.084,thailand
2015,YR2015,Timor-Leste,TLS,1595205100.0,timor-leste
2015,YR2015,Togo,TGO,5755461035.44333,togo
2015,YR2015,Tonga,TON,437003078.563584,tonga
2015,YR2015,Trinidad and Tobago,TTO,27026080986.578,trinidad and tobago
2015,YR2015,Tunisia,TUN,45779494041.9295,tunisia
2015,YR2015,Turkmenistan,TKM,35799714285.7143,turkmenistan
2015,YR2015,Turks and Caicos Islands,TCA,942070000.0,turks and caicos islands
2015,YR2015,Tuvalu,TUV,36811936.0824587,tuvalu
2015,YR2015,Uganda,UGA,32387183730.1002,uganda
2015,YR2015,Ukraine,UKR,91030967789.0717,ukraine
2015,YR2015,United Arab Emirates,ARE,370275469571.137,united arab emirates
2015,YR2015,United Kingdom,GBR,2927911140916.73,united kingdom
2015,YR2015,United States,USA,18295019000000.0,united states
2015,YR2015,Uruguay,URY,57680327998.6689,uruguay
2015,YR2015,Uzbekistan,UZB,86196264755.3105,uzbekistan
2015,YR2015,Vanuatu,VUT,730870802.967051,vanuatu
2015,YR2015,Virgin Islands (U.S.),VIR,3663000000.0,virgin islands (u.s.)
2015,YR2015,West Bank and Gaza,PSE,13972400000.0,west bank and gaza
2015,YR2015,"Yemen, Rep.",YEM,42444490073.8555,"yemen, rep."
2015,YR2015,Zambia,ZMB,21251216798.7762,zambia
2015,YR2015,Zimbabwe,ZWE,19963120600.0,zimbabwe
