Time,Time Code,Country Name,Country Code,Total final energy consumption (TFEC) ,Renewable energy consumption,Total Renewable Energy Percentage,Country
2015,YR2015,Sierra Leone,SLE,54796.5927,42555.34,78%,sierra leone
2015,YR2015,Singapore,SGP,439604.8309,3115.195,1%,singapore
2015,YR2015,Sint Maarten (Dutch part),SXM,8338.3635,3.8635,0%,sint maarten (dutch part)
2015,YR2015,Slovak Republic,SVK,376732.2415,50516.66,13%,slovak republic
2015,YR2015,Slovenia,SVN,195249.1571,40762.94,21%,slovenia
2015,YR2015,Solomon Islands,SLB,5078.3015,3214.943,63%,solomon islands
2015,YR2015,Somalia,SOM,104906.4283,98912.04,94%,somalia
2015,YR2015,South Africa,ZAF,2942891.797,504710.1,17%,south africa
2015,YR2015,South Sudan,SSD,17653.6422,6898.052,39%,south sudan
2015,YR2015,Spain,ESP,3159454.362,513540.8,16%,spain
2015,YR2015,Sri Lanka,LKA,414835.5546,219348,53%,sri lanka
2015,YR2015,St. Kitts and Nevis,KNA,1855.6128,30.47271,2%,st. kitts and nevis
2015,YR2015,St. Lucia,LCA,3812.98052,81.31652,2%,st. lucia
2015,YR2015,St. Vincent and the Grenadines,VCT,2427.773,140.9913,6%,st. vincent and the grenadines
2015,YR2015,Sudan,SDN,436080.0059,268611.1,62%,sudan
2015,YR2015,Suriname,SUR,25154.67121,6266.811,25%,suriname
2015,YR2015,Sweden,SWE,1276695.536,679811.9,53%,sweden
2015,YR2015,Switzerland,CHE,772440.4003,195365.5,25%,switzerland
2015,YR2015,Syrian Arab Republic,SYR,249253.9786,1299,1%,syrian arab republic
2015,YR2015,Tajikistan,TJK,98813.96471,44129.53,45%,tajikistan
2015,YR2015,Tanzania,TZA,938634.1703,804531.9,86%,tanzania
2015,YR2015,Thailand,THA,3157978.766,722010.9,23%,thailand
2015,YR2015,Timor-Leste,TLS,4862.325,886.095,18%,timor-leste
2015,YR2015,Togo,TGO,92564.45395,65965.75,71%,togo
2015,YR2015,Tonga,TON,1264.108525,23.7621,2%,tonga
2015,YR2015,Trinidad and Tobago,TTO,171888.0692,488.5158,0%,trinidad and tobago
2015,YR2015,Tunisia,TUN,318320.6874,39988.56,13%,tunisia
2015,YR2015,Turkmenistan,TKM,753232.8691,307.981,0%,turkmenistan
2015,YR2015,Turks and Caicos Islands,TCA,1185.422585,6.782585,1%,turks and caicos islands
