Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD]
2015,YR2015,Serbia,SRB,39655949731.3816
2015,YR2015,Seychelles,SYC,1432403352.12944
2015,YR2015,Sierra Leone,SLE,4252029353.82191
2015,YR2015,Singapore,SGP,307998545269.398
2015,YR2015,Sint Maarten (Dutch part),SXM,1417888715.0838
2015,YR2015,Slovak Republic,SVK,88900883130.8374
2015,YR2015,Slovenia,SVN,43107506024.3254
2015,YR2015,Solomon Islands,SLB,1307909887.55212
2015,YR2015,Somalia,SOM,6984947145.09508
2015,YR2015,South Africa,ZAF,346709790458.563
2015,YR2015,South Sudan,SSD,11997800760.2242
2015,YR2015,Spain,ESP,1196156971279.69
2015,YR2015,Sri Lanka,LKA,85140955388.8509
2015,YR2015,St. Kitts and Nevis,KNA,957222222.222222
2015,YR2015,St. Lucia,LCA,1807640740.74074
2015,YR2015,St. Martin (French part),MAF,..
2015,YR2015,St. Vincent and the Grenadines,VCT,786555555.555555
2015,YR2015,Sudan,SDN,51726758676.7677
2015,YR2015,Suriname,SUR,5126237646.22072
2015,YR2015,Sweden,SWE,505103781349.757
2015,YR2015,Switzerland,CHE,694118186379.628
2015,YR2015,Syrian Arab Republic,SYR,16466863097.2125
2015,YR2015,Tajikistan,TJK,8271431485.07484
2015,YR2015,Tanzania,TZA,47413919817.124
2015,YR2015,Thailand,THA,401296238228.084
2015,YR2015,Timor-Leste,TLS,1595205100
2015,YR2015,Togo,TGO,5755461035.44333
2015,YR2015,Tonga,TON,437003078.563584
2015,YR2015,Trinidad and Tobago,TTO,27026080986.578
2015,YR2015,Tunisia,TUN,45779494041.9295
2015,YR2015,Turkiye,TUR,864313810469.009
2015,YR2015,Turkmenistan,TKM,35799714285.7143
2015,YR2015,Turks and Caicos Islands,TCA,942070000
2015,YR2015,Tuvalu,TUV,36811936.0824587
2015,YR2015,Uganda,UGA,32387183730.1002
2015,YR2015,Ukraine,UKR,91030967789.0717
2015,YR2015,United Arab Emirates,ARE,370275469571.137
2015,YR2015,United Kingdom,GBR,2927911140916.73
2015,YR2015,United States,USA,18295019000000
2015,YR2015,Uruguay,URY,57680327998.6689
2015,YR2015,Uzbekistan,UZB,86196264755.3105
2015,YR2015,Vanuatu,VUT,730870802.967051
2015,YR2015,"Venezuela, RB",VEN,..
2015,YR2015,Viet Nam,VNM,239258328381.741
2015,YR2015,Virgin Islands (U.S.),VIR,3663000000
2015,YR2015,West Bank and Gaza,PSE,13972400000
2015,YR2015,"Yemen, Rep.",YEM,42444490073.8555
2015,YR2015,Zambia,ZMB,21251216798.7762
2015,YR2015,Zimbabwe,ZWE,19963120600
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/13/2024,,,,
