Time_x,Time Code_x,Country Name_x,Country Code_x,GDP (current US$) [NY.GDP.MKTP.CD],Country,Time_y,Time Code_y,Country Name_y,Country Code_y,Total final energy consumption (TFEC) ,Renewable energy consumption,Total Renewable Energy Percentage
2015,YR2015,Guyana,GUY,4279840193.7046,guyana,2015,YR2015,Guyana,GUY,26619.104,6723.647,25%
2015,YR2015,Haiti,HTI,14849629308.6025,haiti,2015,YR2015,Haiti,HTI,136690.6464,103983.6,76%
2015,YR2015,Honduras,HND,20979791685.416,honduras,2015,YR2015,Honduras,HND,198453.692,102277.9,52%
2015,YR2015,"Hong Kong SAR, China",HKG,309385622601.348,"hong kong sar, china",2015,YR2015,"Hong Kong SAR, China",HKG,372163.061,3173.745,1%
2015,YR2015,Hungary,HUN,125174166987.372,hungary,2015,YR2015,Hungary,HUN,707440.9583,110073.3,16%
2015,YR2015,Iceland,ISL,17517210519.0912,iceland,2015,YR2015,Iceland,ISL,118646.292,91392.87,77%
2015,YR2015,India,IND,2103588360044.39,india,2015,YR2015,India,IND,22241457.76,8011645.0,36%
2015,YR2015,Indonesia,IDN,860854232686.214,indonesia,2015,YR2015,Indonesia,IDN,6513819.044,2402254.0,37%
2015,YR2015,"Iran, Islamic Rep.",IRN,408212917874.964,"iran, islamic rep.",2015,YR2015,"Iran, Islamic Rep.",IRN,6565402.848,59942.46,1%
2015,YR2015,Iraq,IRQ,166774104959.102,iraq,2015,YR2015,Iraq,IRQ,734476.5913,5867.225,1%
2015,YR2015,Ireland,IRL,292364226871.756,ireland,2015,YR2015,Ireland,IRL,430018.1056,39051.66,9%
2015,YR2015,Isle of Man,IMN,7084800892.22284,isle of man,2015,YR2015,Isle of Man,IMN,2270.7,95.54174,4%
2015,YR2015,Israel,ISR,303414276832.04,israel,2015,YR2015,Israel,ISR,512100.1521,18987.48,4%
2015,YR2015,Italy,ITA,1836637711060.55,italy,2015,YR2015,Italy,ITA,4714561.631,778697.1,17%
2015,YR2015,Jamaica,JAM,14188936918.0036,jamaica,2015,YR2015,Jamaica,JAM,82139.19635,13776.31,17%
2015,YR2015,Japan,JPN,4444930651964.18,japan,2015,YR2015,Japan,JPN,10559777.56,664986.9,6%
2015,YR2015,Jordan,JOR,38587017887.3239,jordan,2015,YR2015,Jordan,JOR,229180.994,7400.644,3%
2015,YR2015,Kazakhstan,KAZ,184388404706.042,kazakhstan,2015,YR2015,Kazakhstan,KAZ,1586534.855,24725.24,2%
2015,YR2015,Kenya,KEN,70120446896.8359,kenya,2015,YR2015,Kenya,KEN,655000.7859,475941.6,73%
2015,YR2015,Kiribati,KIR,191572320.429122,kiribati,2015,YR2015,Kiribati,KIR,605.3605527,25.75203,4%
